age,seniority,tenure,monthly_income,satisfaction_score,work_life_balance,overtime,commute_distance,promotion_last_5yrs,performance_score,trg_hrs_last_year,attrition,department_Engineering,department_Finance,department_HR,department_IT,department_Marketing,department_Operations,department_Sales
30,2,3,6340,4,4,0,5.5,0,3,17,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,3,7,11416,2,3,0,19.3,0,2,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,3,25,14082,3,3,0,26.1,0,3,14,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,4,18,15838,1,3,0,5.8,1,3,21,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,0,4627,4,4,1,3.5,0,1,22,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,4,18,12049,4,3,0,6.3,0,3,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,2,8,9472,3,2,0,12.7,0,2,21,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,3,9,8643,5,3,0,17.9,0,3,15,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,3,7,12107,4,3,0,8.2,0,2,16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1,0,4001,4,1,1,19.9,0,2,17,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,3,9,10976,3,3,1,2.6,0,3,16,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,3,5,10745,3,4,1,10.5,0,2,14,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,1,5921,4,3,0,10.3,0,4,18,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2,2,8156,4,3,0,1.9,0,3,9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,3,10,8930,4,3,0,9.1,1,2,13,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,1,1,5176,5,2,0,20.7,0,3,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,2,2,5701,2,2,1,8.6,0,2,10,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,2,2,7263,2,4,0,9.1,0,1,16,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,1,2,4759,4,2,0,11.0,0,2,16,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,3,13,12814,3,2,0,11.3,0,4,13,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,2,5,7562,3,1,0,2.8,1,2,7,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,4,14,14414,5,4,0,6.3,0,3,18,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,2,13,7958,4,3,1,15.6,0,4,13,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,3,6,9374,4,2,1,13.5,0,3,11,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,2,9,8609,3,3,0,8.1,0,2,18,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4,14,10855,3,3,0,14.1,1,3,14,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,4,30,18184,5,4,1,15.6,1,2,20,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3,12,12464,4,3,1,5.3,0,3,14,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,2,9,9312,4,3,0,32.6,0,3,10,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,1,0,6180,3,2,0,4.9,0,2,17,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,4,21,16196,2,2,1,4.1,0,3,11,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,4,16,11158,3,3,0,14.5,0,3,12,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,4,10,9833,3,3,1,10.2,0,2,11,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,4,16,13068,4,3,0,4.3,0,4,15,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,1,0,5477,2,3,1,17.0,0,3,14,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3,11,11693,3,4,0,4.0,0,3,23,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2,14,9015,2,3,0,6.2,0,3,15,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,5,25,19938,3,1,0,13.3,0,3,26,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,2,8,8323,5,1,1,12.7,0,2,8,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,2,4,8856,3,2,1,6.4,0,3,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3,8,9486,1,4,1,21.1,0,3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,2,4,8307,4,3,0,1.0,0,2,25,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,1,3,3619,4,3,0,5.9,0,3,20,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,2,8,8975,3,2,0,11.5,0,3,26,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,2,2,6734,3,3,0,5.5,0,3,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,2,2,6375,5,3,0,5.5,0,3,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,3,25,13374,5,2,0,3.9,0,3,21,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,1,1,6394,4,3,0,2.0,0,2,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,0,5697,3,2,0,20.2,0,2,14,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,4,11,10585,2,2,0,7.9,0,3,12,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,1,1,6484,3,1,0,19.2,0,2,18,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,1,1,4073,3,4,0,12.1,0,3,13,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,3,10,9816,2,2,0,9.8,0,2,16,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,1,2,5105,4,3,0,49.9,0,2,11,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,3,6,9710,5,2,0,8.8,0,3,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,1,1,4245,5,3,0,7.2,0,2,16,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,3,6,11171,4,1,1,6.2,1,3,13,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,1,1,4774,4,4,0,13.3,0,2,23,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,1,0,5609,3,3,1,6.9,0,2,11,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,2,2,6604,5,4,1,26.0,0,2,11,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,1,1,6031,3,3,0,10.4,0,3,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,1,4471,1,2,0,16.3,0,2,21,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,4,14,11923,4,3,0,3.5,1,3,9,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,2,2,5247,3,2,1,2.8,0,2,13,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,2,4,7339,3,4,0,8.9,0,3,18,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,1,0,5508,3,2,1,4.6,0,3,20,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,3,10,9029,3,2,1,14.6,0,3,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,3,6,8179,2,3,0,7.9,0,3,15,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60,2,5,8001,1,2,0,4.1,0,2,14,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,3,13,12493,3,2,0,4.5,0,2,17,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1,0,5812,3,3,1,10.5,0,4,12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,2,9,9363,3,2,0,23.6,0,3,10,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,1,0,4789,5,2,0,14.5,0,2,13,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,3,16,12454,4,3,0,17.3,0,2,20,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,3,13,11989,1,2,1,3.3,0,4,13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,3,9,11985,1,3,0,7.7,0,3,8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,5,6030,4,3,1,1.4,0,3,25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,2,7,6438,5,3,1,9.6,0,3,10,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,1,1,6686,3,3,0,16.4,0,2,14,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,3,13,12977,3,2,1,7.8,0,2,8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2,6,7935,3,4,0,15.0,0,3,7,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,2,5,5887,4,4,0,2.3,0,3,21,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,2,3,8109,3,3,0,23.5,0,3,18,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,1,0,5663,2,3,0,12.3,1,3,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,2,8,8481,3,4,1,3.3,0,2,9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,1,0,3890,3,3,0,10.8,0,2,17,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,3,14,9994,5,3,0,7.2,0,4,9,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,1,0,4780,4,3,1,5.0,0,3,14,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,5,19,16920,4,1,0,1.6,0,2,17,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,1,2,4385,3,3,0,6.0,0,3,13,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,3,22,12473,2,2,0,6.1,0,2,11,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,2,4,7132,5,2,0,6.6,0,3,15,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,2,4,9461,3,4,0,10.1,0,2,14,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2,3,6552,4,3,0,19.4,0,4,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,1,0,5903,4,3,1,18.1,0,1,17,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,4,13,10541,5,2,0,5.1,0,3,15,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,4,25,14082,2,1,1,3.5,0,2,19,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,1,0,3102,4,3,0,7.2,0,2,12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,3,7,9264,3,3,0,3.2,0,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,1,1,3442,2,3,0,3.4,0,3,13,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,3,7,8992,4,4,0,14.6,0,4,14,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,1,0,4263,4,4,0,16.5,0,2,20,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,1,0,5512,1,4,0,4.5,0,2,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,1,3,4158,4,3,0,6.5,0,4,20,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,4,18,13467,2,1,0,8.7,0,2,19,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,2,4,7454,4,4,0,12.3,0,3,14,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,2,4,8764,4,4,0,4.1,0,3,13,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2,4,7172,4,3,0,5.8,0,3,19,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,3,18,11682,2,2,1,5.0,0,2,17,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,3,11,14046,4,1,0,11.1,0,2,12,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,3,5459,2,3,0,9.1,0,1,16,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,1,0,5198,4,3,1,2.9,0,2,21,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,3,6,12364,2,1,0,16.6,0,3,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,0,6136,4,4,0,19.8,0,2,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,1,4793,5,3,1,2.8,0,3,14,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,1,2,4378,3,3,0,11.1,0,2,13,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,2,6,8779,4,3,0,2.3,0,3,18,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,5,16,14049,3,2,0,21.1,0,4,16,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,1,2,6038,4,4,0,16.4,0,3,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2,2,6496,4,1,0,7.6,0,3,18,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,2,5,6103,3,3,0,6.0,0,3,10,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,4,21,13123,2,3,0,7.1,0,2,11,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,3,28,14295,5,2,0,2.9,0,3,9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1,1,5035,4,3,1,12.5,0,2,20,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,1,1,5340,4,2,0,15.5,0,2,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,3,5,10051,3,4,0,8.2,0,4,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,1,1,4408,3,3,1,16.6,0,2,18,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,2,4,8821,4,4,0,18.6,0,4,11,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,3,14,9584,2,4,0,10.1,0,3,14,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,2,3,8976,5,4,1,2.4,0,3,12,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,5,20,14774,2,3,1,5.4,0,2,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,1,0,6014,4,4,1,6.4,0,2,18,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,3,14,8764,3,1,0,17.7,1,3,21,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,1,0,5678,4,2,1,7.1,0,3,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,4,13,11108,3,2,1,12.7,0,3,24,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,3,18,13285,3,2,0,6.7,0,2,14,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,1,4522,3,1,0,11.4,0,3,17,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,2,3,5890,2,3,1,7.8,0,3,16,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,1,1,5368,5,3,0,14.4,0,4,19,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,2,5,6611,5,3,0,1.0,0,3,15,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,2,12,7284,3,3,1,5.3,0,2,11,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,5,16,17450,3,4,1,4.9,0,3,13,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,2,5,8588,4,4,0,12.2,0,3,20,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,2,4,5811,4,3,0,14.0,1,3,11,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,1,0,4626,5,1,0,13.5,0,3,17,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,3,5,11461,3,3,0,2.9,0,3,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2,4,7488,4,3,0,7.6,0,3,13,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,3,6,11516,3,1,0,5.7,0,3,20,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,1,0,4521,4,2,0,25.9,1,3,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,4,12,12289,3,2,0,3.0,0,1,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,4,18,15858,4,3,0,3.8,1,2,13,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,2,5,8596,3,2,0,21.4,0,3,13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1,0,4935,3,3,0,11.6,0,3,10,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,3,12,13066,3,3,0,4.3,0,4,18,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2,2,5490,5,4,1,21.1,0,4,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,2,6,7806,4,3,0,1.2,0,2,17,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,4,19,15302,4,3,0,13.6,0,3,11,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,2,2,7468,4,1,1,9.2,0,3,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,4,25,16678,4,3,0,15.3,0,2,18,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,1,0,4295,3,3,1,10.3,0,4,18,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,1,0,4785,3,2,0,18.7,0,3,20,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,2,7,7746,3,2,0,16.2,0,3,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,4,16,15028,2,4,0,9.4,0,2,13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,4,12,11423,3,2,1,3.4,0,2,15,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,3,13,10599,4,4,1,4.5,0,1,12,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,1,4,5592,1,2,0,3.3,0,2,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,4,25,13669,2,2,0,10.9,0,3,10,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,4,23,15847,5,3,1,9.4,0,2,18,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,3,21,13849,5,2,0,4.1,0,2,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,3,6,8943,3,3,0,23.0,0,2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,4,23,12406,4,3,1,5.7,0,3,13,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,3,5,12117,2,4,0,21.7,0,3,17,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4,10,14492,3,4,0,9.5,0,3,17,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,3,5,11419,4,3,0,5.2,0,2,19,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3,5,11432,5,2,1,13.0,0,3,9,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,4,22,16848,3,2,0,2.6,0,3,16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,0,6127,3,2,0,7.0,0,3,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2,3,6439,4,4,0,22.9,0,2,9,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,1,0,4028,4,3,0,29.2,0,3,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,1,0,4617,5,2,0,4.4,0,3,10,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,1,4,5973,4,3,1,17.2,0,3,13,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,1,2,6127,3,4,0,6.9,0,3,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2,3,8922,2,3,1,8.7,0,2,14,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,3,6,8920,3,4,0,2.1,0,3,9,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,2,4,8319,3,4,1,12.1,0,3,17,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,2,3,5936,2,3,0,15.1,0,4,15,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,4,16,12239,3,4,0,2.5,1,3,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,2,5,9260,3,3,0,15.8,0,3,15,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,2,9,8258,5,3,0,27.3,0,3,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,3,31,12652,3,3,0,27.3,0,2,21,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,3,22,10147,5,2,1,14.1,0,2,15,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,1,0,5678,3,3,0,8.1,0,4,21,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,4,15,12100,4,4,0,14.0,0,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,1,0,5571,3,4,0,3.8,0,4,15,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,4,13,11514,1,4,1,7.4,0,2,14,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,1,3,6336,3,4,0,5.8,0,4,9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4,11,13240,3,3,0,3.5,1,3,12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,3,8,12174,3,2,1,6.8,0,2,17,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,3,14,12750,4,3,1,19.9,0,4,13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2,3,8747,3,1,1,6.1,0,3,20,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2,9,7768,5,1,0,7.9,0,3,14,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,3,5,11626,5,2,1,13.7,0,2,21,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,1,4096,4,1,1,7.5,0,3,13,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55,2,5,8666,5,3,0,6.4,0,2,16,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,2,3,6761,2,4,0,7.8,0,4,14,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
