EmployeeID,age,department,seniority,tenure,monthly_income,satisfaction_score,work_life_balance,overtime,commute_distance,promotion_last_5yrs,performance_score,trg_hrs_last_year,attrition,attrition_probability,risk_category
EMP0039,39,IT,3,9,11002,3,3,Yes,10.6,Yes,2,16,0,0.54004927445552,Medium Risk
EMP0040,45,Engineering,2,5,9125,3,2,No,6.3,No,3,8,0,0.5173867949148474,Medium Risk
EMP0041,39,Engineering,3,8,12417,1,3,No,16.2,No,2,13,0,0.5602740991393163,Medium Risk
EMP0042,36,Operations,1,1,3819,5,3,No,8.0,No,1,12,0,0.4138183545296439,Medium Risk
EMP0043,34,Engineering,2,3,8795,4,2,Yes,8.1,No,3,13,0,0.6314693826064289,High Risk
EMP0044,23,IT,1,0,5578,5,2,No,34.4,No,2,14,0,0.4781871738681995,Medium Risk
EMP0045,30,HR,2,3,6340,4,4,No,5.5,No,3,17,0,0.24517021273549217,Low Risk
EMP0046,33,Engineering,3,7,11416,2,3,No,19.3,No,2,15,0,0.48891690747346483,Medium Risk
EMP0047,48,IT,3,25,14082,3,3,No,26.1,No,3,14,1,0.3779243137889453,Medium Risk
EMP0048,41,Engineering,4,18,15838,1,3,No,5.8,Yes,3,21,0,0.41965018174798446,Medium Risk
EMP0049,22,Sales,1,0,4627,4,4,Yes,3.5,No,1,22,0,0.5685269445289515,Medium Risk
EMP0050,41,Sales,4,18,12049,4,3,No,6.3,No,3,14,0,0.26597377289403107,Low Risk
EMP0051,34,IT,2,8,9472,3,2,No,12.7,No,2,21,0,0.5274931712894836,Medium Risk
EMP0052,31,Operations,3,9,8643,5,3,No,17.9,No,3,15,0,0.3008952803583666,Medium Risk
EMP0053,44,Engineering,3,7,12107,4,3,No,8.2,No,2,16,0,0.39346674680362265,Medium Risk
EMP0054,48,Operations,1,0,4001,4,1,Yes,19.9,No,2,17,0,0.7916967539771149,High Risk
EMP0055,47,Marketing,3,9,10976,3,3,Yes,2.6,No,3,16,0,0.6110811339881718,High Risk
EMP0056,29,Engineering,3,5,10745,3,4,Yes,10.5,No,2,14,0,0.5194352883885758,Medium Risk
EMP0057,34,Finance,1,1,5921,4,3,No,10.3,No,4,18,0,0.41755737205873444,Medium Risk
EMP0058,41,Finance,2,2,8156,4,3,No,1.9,No,3,9,0,0.37186474090299343,Medium Risk
EMP0059,47,HR,3,10,8930,4,3,No,9.1,Yes,2,13,0,0.2339931003528831,Low Risk
EMP0060,33,Sales,1,1,5176,5,2,No,20.7,No,3,14,0,0.4854825480292408,Medium Risk
EMP0061,36,Sales,2,2,5701,2,2,Yes,8.6,No,2,10,1,0.729866257636327,High Risk
EMP0062,26,Operations,2,2,7263,2,4,No,9.1,No,1,16,0,0.49498267564535214,Medium Risk
EMP0063,26,Operations,1,2,4759,4,2,No,11.0,No,2,16,0,0.5254486213647045,Medium Risk
EMP0064,46,Finance,3,13,12814,3,2,No,11.3,No,4,13,0,0.44475957772347247,Medium Risk
EMP0065,51,Operations,2,5,7562,3,1,No,2.8,Yes,2,7,0,0.577976839171757,Medium Risk
EMP0066,37,Finance,4,14,14414,5,4,No,6.3,No,3,18,0,0.19349644506225888,Low Risk
EMP0067,48,Operations,2,13,7958,4,3,Yes,15.6,No,4,13,0,0.5692276011214856,Medium Risk
EMP0068,41,Sales,3,6,9374,4,2,Yes,13.5,No,3,11,0,0.6087503471807443,High Risk
EMP0069,31,Engineering,2,9,8609,3,3,No,8.1,No,2,18,0,0.4163620158012726,Medium Risk
EMP0070,41,HR,4,14,10855,3,3,No,14.1,Yes,3,14,0,0.21855714990738184,Low Risk
EMP0071,53,Engineering,4,30,18184,5,4,Yes,15.6,Yes,2,20,0,0.3122064990907598,Medium Risk
EMP0072,37,Finance,3,12,12464,4,3,Yes,5.3,No,3,14,0,0.48133680943803653,Medium Risk
EMP0073,53,IT,2,9,9312,4,3,No,32.6,No,3,10,0,0.443653427419754,Medium Risk
EMP0074,22,Engineering,1,0,6180,3,2,No,4.9,No,2,17,0,0.5490600303774767,Medium Risk
EMP0075,46,IT,4,21,16196,2,2,Yes,4.1,No,3,11,0,0.6160757448278056,High Risk
EMP0076,38,HR,4,16,11158,3,3,No,14.5,No,3,12,0,0.23590002940229804,Low Risk
EMP0077,35,HR,4,10,9833,3,3,Yes,10.2,No,2,11,0,0.39907325712655434,Medium Risk
EMP0078,38,Marketing,4,16,13068,4,3,No,4.3,No,4,15,0,0.2786152282006202,Low Risk
EMP0079,22,Engineering,1,0,5477,2,3,Yes,17.0,No,3,14,0,0.701291061708037,High Risk
EMP0080,35,Engineering,3,11,11693,3,4,No,4.0,No,3,23,1,0.3303415439560281,Medium Risk
EMP0081,41,Marketing,2,14,9015,2,3,No,6.2,No,3,15,0,0.4823456023643018,Medium Risk
EMP0082,52,IT,5,25,19938,3,1,No,13.3,No,3,26,0,0.47569347968325965,Medium Risk
EMP0083,32,Marketing,2,8,8323,5,1,Yes,12.7,No,2,8,0,0.6310940483304428,High Risk
EMP0084,29,Engineering,2,4,8856,3,2,Yes,6.4,No,3,10,0,0.6592106199553439,High Risk
EMP0085,32,Sales,3,8,9486,1,4,Yes,21.1,No,3,6,0,0.6248346245460359,High Risk
EMP0086,47,IT,2,4,8307,4,3,No,1.0,No,2,25,0,0.4317648618927712,Medium Risk
EMP0087,41,HR,1,3,3619,4,3,No,5.9,No,3,20,0,0.34053138379689596,Medium Risk
EMP0088,32,IT,2,8,8975,3,2,No,11.5,No,3,26,0,0.511984634650268,Medium Risk
EMP0089,43,Marketing,2,2,6734,3,3,No,5.5,No,3,12,0,0.4743769576331768,Medium Risk
EMP0090,38,Marketing,2,2,6375,5,3,No,5.5,No,3,12,0,0.34645435765583904,Medium Risk
EMP0091,47,Finance,3,25,13374,5,2,No,3.9,No,3,21,0,0.275782442041141,Low Risk
EMP0092,30,Engineering,1,1,6394,4,3,No,2.0,No,2,15,0,0.4329251948629555,Medium Risk
EMP0093,34,Finance,1,0,5697,3,2,No,20.2,No,2,14,0,0.571129829662771,Medium Risk
EMP0094,34,HR,4,11,10585,2,2,No,7.9,No,3,12,0,0.34032773302002667,Medium Risk
EMP0095,23,Finance,1,1,6484,3,1,No,19.2,No,2,18,0,0.6211262544791205,High Risk
EMP0096,40,Operations,1,1,4073,3,4,No,12.1,No,3,13,0,0.4689754515231571,Medium Risk
EMP0097,40,Sales,3,10,9816,2,2,No,9.8,No,2,16,0,0.5372124833313509,Medium Risk
EMP0098,38,Marketing,1,2,5105,4,3,No,49.9,No,2,11,0,0.5401665125835999,Medium Risk
EMP0099,35,Sales,3,6,9710,5,2,No,8.8,No,3,13,0,0.3685103122266266,Medium Risk
EMP0100,23,Sales,1,1,4245,5,3,No,7.2,No,2,16,0,0.3736218570120751,Medium Risk
EMP0101,33,Finance,3,6,11171,4,1,Yes,6.2,Yes,3,13,0,0.5764593390645883,Medium Risk
EMP0102,34,Sales,1,1,4774,4,4,No,13.3,No,2,23,0,0.42613709140604283,Medium Risk
EMP0103,29,Marketing,1,0,5609,3,3,Yes,6.9,No,2,11,0,0.6872495196926801,High Risk
EMP0104,36,Sales,2,2,6604,5,4,Yes,26.0,No,2,11,0,0.5015664541840669,Medium Risk
EMP0105,42,Engineering,1,1,6031,3,3,No,10.4,No,3,10,0,0.50584300312923,Medium Risk
EMP0106,56,Sales,1,1,4471,1,2,No,16.3,No,2,21,0,0.7460191332003683,High Risk
EMP0107,39,Sales,4,14,11923,4,3,No,3.5,Yes,3,9,0,0.23916734114054106,Low Risk
EMP0108,40,Operations,2,2,5247,3,2,Yes,2.8,No,2,13,0,0.6938714511025699,High Risk
EMP0109,37,Marketing,2,4,7339,3,4,No,8.9,No,3,18,0,0.41308873002658303,Medium Risk
EMP0110,22,IT,1,0,5508,3,2,Yes,4.6,No,3,20,0,0.6994535643731117,High Risk
EMP0111,37,Sales,3,10,9029,3,2,Yes,14.6,No,3,18,0,0.6341311531761582,High Risk
EMP0112,38,Operations,3,6,8179,2,3,No,7.9,No,3,15,0,0.4736409782297425,Medium Risk
EMP0113,60,Finance,2,5,8001,1,2,No,4.1,No,2,14,0,0.6405986114947638,High Risk
EMP0114,36,Engineering,3,13,12493,3,2,No,4.5,No,2,17,0,0.44954587391674494,Medium Risk
EMP0115,41,Finance,1,0,5812,3,3,Yes,10.5,No,4,12,0,0.6543493636110826,High Risk
EMP0116,37,Finance,2,9,9363,3,2,No,23.6,No,3,10,0,0.49136415506634584,Medium Risk
EMP0117,26,HR,1,0,4789,5,2,No,14.5,No,2,13,0,0.3679910295241029,Medium Risk
EMP0118,49,Finance,3,16,12454,4,3,No,17.3,No,2,20,0,0.3499834326736721,Medium Risk
EMP0119,45,Engineering,3,13,11989,1,2,Yes,3.3,No,4,13,0,0.707370040062834,High Risk
EMP0120,45,Engineering,3,9,11985,1,3,No,7.7,No,3,8,0,0.5214273411787421,Medium Risk
EMP0121,28,HR,2,5,6030,4,3,Yes,1.4,No,3,25,0,0.4405140269498864,Medium Risk
EMP0122,52,Operations,2,7,6438,5,3,Yes,9.6,No,3,10,0,0.532247065706283,Medium Risk
EMP0123,23,Engineering,1,1,6686,3,3,No,16.4,No,2,14,0,0.5056026180298112,Medium Risk
EMP0124,43,Engineering,3,13,12977,3,2,Yes,7.8,No,2,8,0,0.6340692394310399,High Risk
EMP0125,59,Marketing,2,6,7935,3,4,No,15.0,No,3,7,1,0.44535124779214236,Medium Risk
EMP0126,28,Operations,2,5,5887,4,4,No,2.3,No,3,21,0,0.32056769117933354,Medium Risk
EMP0127,32,Finance,2,3,8109,3,3,No,23.5,No,3,18,0,0.4577471622525395,Medium Risk
EMP0128,38,Sales,1,0,5663,2,3,No,12.3,Yes,3,18,0,0.5700851941735456,Medium Risk
EMP0129,32,Finance,2,8,8481,3,4,Yes,3.3,No,2,9,0,0.49000965832703514,Medium Risk
EMP0130,22,HR,1,0,3890,3,3,No,10.8,No,2,17,0,0.39393445473514166,Medium Risk
EMP0131,38,HR,3,14,9994,5,3,No,7.2,No,4,9,0,0.18398215507520768,Low Risk
EMP0132,27,Marketing,1,0,4780,4,3,Yes,5.0,No,3,14,0,0.6101558965286262,High Risk
EMP0133,42,Finance,5,19,16920,4,1,No,1.6,No,2,17,0,0.34054640072320413,Medium Risk
EMP0134,28,Operations,1,2,4385,3,3,No,6.0,No,3,13,0,0.49179538526678196,Medium Risk
EMP0135,53,Marketing,3,22,12473,2,2,No,6.1,No,2,11,0,0.502108319828086,Medium Risk
EMP0136,30,Marketing,2,4,7132,5,2,No,6.6,No,3,15,0,0.3949602889973681,Medium Risk
EMP0137,34,Engineering,2,4,9461,3,4,No,10.1,No,2,14,1,0.4113384047183154,Medium Risk
EMP0138,46,Sales,2,3,6552,4,3,No,19.4,No,4,13,0,0.43215854558129124,Medium Risk
EMP0139,25,IT,1,0,5903,4,3,Yes,18.1,No,1,17,0,0.6398231487938508,High Risk
EMP0140,40,HR,4,13,10541,5,2,No,5.1,No,3,15,0,0.20362381035931731,Low Risk
EMP0141,51,Marketing,4,25,14082,2,1,Yes,3.5,No,2,19,0,0.6742633986007569,High Risk
EMP0142,22,Operations,1,0,3102,4,3,No,7.2,No,2,12,0,0.4233985338074265,Medium Risk
EMP0143,39,Sales,3,7,9264,3,3,No,3.2,No,3,5,0,0.38485049420754835,Medium Risk
EMP0144,40,Operations,1,1,3442,2,3,No,3.4,No,3,13,0,0.560946815338909,Medium Risk
EMP0145,45,Operations,3,7,8992,4,4,No,14.6,No,4,14,0,0.32646918320778506,Medium Risk
EMP0146,25,Operations,1,0,4263,4,4,No,16.5,No,2,20,0,0.42290312421769766,Medium Risk
EMP0147,24,Sales,1,0,5512,1,4,No,4.5,No,2,13,0,0.5604027596480344,Medium Risk
EMP0148,43,HR,1,3,4158,4,3,No,6.5,No,4,20,0,0.3458414145706021,Medium Risk
EMP0149,40,Sales,4,18,13467,2,1,No,8.7,No,2,19,0,0.5367741996134606,Medium Risk
EMP0150,40,Marketing,2,4,7454,4,4,No,12.3,No,3,14,0,0.36506717164739816,Medium Risk
EMP0151,41,Finance,2,4,8764,4,4,No,4.1,No,3,13,0,0.3218686161563328,Medium Risk
EMP0152,31,Sales,2,4,7172,4,3,No,5.8,No,3,19,0,0.3997455539648278,Medium Risk
EMP0153,40,Finance,3,18,11682,2,2,Yes,5.0,No,2,17,0,0.617124644347118,High Risk
EMP0154,40,Engineering,3,11,14046,4,1,No,11.1,No,2,12,1,0.5111438893127475,Medium Risk
EMP0155,30,Operations,1,3,5459,2,3,No,9.1,No,1,16,0,0.59647591004877,Medium Risk
EMP0156,56,Marketing,1,0,5198,4,3,Yes,2.9,No,2,21,0,0.6935223849898143,High Risk
EMP0157,42,Engineering,3,6,12364,2,1,No,16.6,No,3,15,0,0.6419402417624751,High Risk
EMP0158,26,Engineering,1,0,6136,4,4,No,19.8,No,2,15,0,0.399062098944304,Medium Risk
EMP0159,44,Operations,1,1,4793,5,3,Yes,2.8,No,3,14,1,0.5979388868713269,Medium Risk
EMP0160,28,HR,1,2,4378,3,3,No,11.1,No,2,13,0,0.39283056411125555,Medium Risk
EMP0161,45,Engineering,2,6,8779,4,3,No,2.3,No,3,18,0,0.3966143174605554,Medium Risk
EMP0162,49,Sales,5,16,14049,3,2,No,21.1,No,4,16,0,0.39008016612581137,Medium Risk
EMP0163,29,Engineering,1,2,6038,4,4,No,16.4,No,3,15,0,0.37308192497434384,Medium Risk
EMP0164,47,Operations,2,2,6496,4,1,No,7.6,No,3,18,0,0.5822474155811689,Medium Risk
EMP0165,42,Operations,2,5,6103,3,3,No,6.0,No,3,10,0,0.45257938161213546,Medium Risk
EMP0166,46,Sales,4,21,13123,2,3,No,7.1,No,2,11,0,0.3765164837280747,Medium Risk
EMP0167,56,Engineering,3,28,14295,5,2,No,2.9,No,3,9,0,0.2796725269362156,Low Risk
EMP0168,35,Sales,1,1,5035,4,3,Yes,12.5,No,2,20,0,0.6582537396741243,High Risk
EMP0169,30,IT,1,1,5340,4,2,No,15.5,No,2,12,0,0.4985896406458778,Medium Risk
EMP0170,29,Marketing,3,5,10051,3,4,No,8.2,No,4,12,0,0.34654359497108744,Medium Risk
EMP0171,29,Operations,1,1,4408,3,3,Yes,16.6,No,2,18,0,0.7055495423588851,High Risk
EMP0172,37,Finance,2,4,8821,4,4,No,18.6,No,4,11,0,0.3271650600167551,Medium Risk
EMP0173,41,Operations,3,14,9584,2,4,No,10.1,No,3,14,0,0.3840582872162106,Medium Risk
EMP0174,40,IT,2,3,8976,5,4,Yes,2.4,No,3,12,1,0.4575124767209387,Medium Risk
EMP0175,46,Sales,5,20,14774,2,3,Yes,5.4,No,2,13,0,0.5169181520820817,Medium Risk
EMP0176,38,IT,1,0,6014,4,4,Yes,6.4,No,2,18,0,0.580502038114447,Medium Risk
EMP0177,52,Operations,3,14,8764,3,1,No,17.7,Yes,3,21,0,0.5067837295355504,Medium Risk
EMP0178,35,Engineering,1,0,5678,4,2,Yes,7.1,No,3,15,0,0.6699216753718492,High Risk
EMP0179,60,Operations,4,13,11108,3,2,Yes,12.7,No,3,24,0,0.6529342132505231,High Risk
EMP0180,44,Finance,3,18,13285,3,2,No,6.7,No,2,14,0,0.42262059417893144,Medium Risk
EMP0181,29,Operations,1,1,4522,3,1,No,11.4,No,3,17,1,0.6451429417392712,High Risk
EMP0182,27,Sales,2,3,5890,2,3,Yes,7.8,No,3,16,1,0.6565857182212025,High Risk
EMP0183,42,Marketing,1,1,5368,5,3,No,14.4,No,4,19,0,0.4337778907147001,Medium Risk
EMP0184,35,Sales,2,5,6611,5,3,No,1.0,No,3,15,0,0.32187472534211303,Medium Risk
EMP0185,45,Operations,2,12,7284,3,3,Yes,5.3,No,2,11,0,0.6099147359563337,High Risk
EMP0186,42,IT,5,16,17450,3,4,Yes,4.9,No,3,13,0,0.42252292440410705,Medium Risk
EMP0187,37,Finance,2,5,8588,4,4,No,12.2,No,3,20,0,0.33047979685506035,Medium Risk
EMP0188,29,HR,2,4,5811,4,3,No,14.0,Yes,3,11,0,0.24669562851029164,Low Risk
EMP0189,22,Finance,1,0,4626,5,1,No,13.5,No,3,17,0,0.45661679982261827,Medium Risk
EMP0190,33,Engineering,3,5,11461,3,3,No,2.9,No,3,15,0,0.40797278935699977,Medium Risk
EMP0191,46,Marketing,2,4,7488,4,3,No,7.6,No,3,13,0,0.4281744290935165,Medium Risk
EMP0192,40,Finance,3,6,11516,3,1,No,5.7,No,3,20,0,0.5392140433382377,Medium Risk
EMP0193,25,Sales,1,0,4521,4,2,No,25.9,Yes,3,18,0,0.49432874023583245,Medium Risk
EMP0194,39,Sales,4,12,12289,3,2,No,3.0,No,1,14,0,0.428588235805242,Medium Risk
EMP0195,41,Finance,4,18,15858,4,3,No,3.8,Yes,2,13,0,0.24438922940963675,Low Risk
EMP0196,29,Engineering,2,5,8596,3,2,No,21.4,No,3,13,0,0.5112516149231241,Medium Risk
EMP0197,39,Operations,1,0,4935,3,3,No,11.6,No,3,10,0,0.5467499613569243,Medium Risk
EMP0198,38,Engineering,3,12,13066,3,3,No,4.3,No,4,18,0,0.39310157066623985,Medium Risk
EMP0199,26,Sales,2,2,5490,5,4,Yes,21.1,No,4,18,0,0.44425265809214987,Medium Risk
EMP0200,41,Marketing,2,6,7806,4,3,No,1.2,No,2,17,0,0.4133343169747851,Medium Risk
EMP0201,43,Finance,4,19,15302,4,3,No,13.6,No,3,11,0,0.27178343887845025,Low Risk
EMP0202,48,Marketing,2,2,7468,4,1,Yes,9.2,No,3,12,0,0.7316083461260338,High Risk
EMP0203,48,Finance,4,25,16678,4,3,No,15.3,No,2,18,0,0.2850962422166896,Low Risk
EMP0204,24,HR,1,0,4295,3,3,Yes,10.3,No,4,18,0,0.5612482230000401,Medium Risk
EMP0205,28,Finance,1,0,4785,3,2,No,18.7,No,3,20,0,0.5408456249845276,Medium Risk
EMP0206,43,Sales,2,7,7746,3,2,No,16.2,No,3,18,0,0.5502428649101075,Medium Risk
EMP0207,43,Engineering,4,16,15028,2,4,No,9.4,No,2,13,0,0.3529143988441377,Medium Risk
EMP0208,43,Sales,4,12,11423,3,2,Yes,3.4,No,2,15,0,0.5885103964186579,Medium Risk
EMP0209,60,Sales,3,13,10599,4,4,Yes,4.5,No,1,12,0,0.4978903112446716,Medium Risk
EMP0210,43,Sales,1,4,5592,1,2,No,3.3,No,2,13,0,0.6869185892657288,High Risk
EMP0211,49,Sales,4,25,13669,2,2,No,10.9,No,3,10,1,0.418279901222439,Medium Risk
EMP0212,47,IT,4,23,15847,5,3,Yes,9.4,No,2,18,0,0.3977659830131599,Medium Risk
EMP0213,44,Engineering,3,21,13849,5,2,No,4.1,No,2,15,0,0.31753584227589265,Medium Risk
EMP0214,34,Sales,3,6,8943,3,3,No,23.0,No,2,9,0,0.4299772665022834,Medium Risk
EMP0215,45,Operations,4,23,12406,4,3,Yes,5.7,No,3,13,0,0.41362792819161676,Medium Risk
EMP0216,30,Engineering,3,5,12117,2,4,No,21.7,No,3,17,0,0.44728556313106044,Medium Risk
EMP0217,35,Engineering,4,10,14492,3,4,No,9.5,No,3,17,0,0.31818084311130623,Medium Risk
EMP0218,33,Engineering,3,5,11419,4,3,No,5.2,No,2,19,0,0.37372640698032455,Medium Risk
EMP0219,38,Engineering,3,5,11432,5,2,Yes,13.0,No,3,9,1,0.5478983691330751,Medium Risk
EMP0220,60,Engineering,4,22,16848,3,2,No,2.6,No,3,16,0,0.4251003520467105,Medium Risk
EMP0221,22,Engineering,1,0,6127,3,2,No,7.0,No,3,15,0,0.5382571008723466,Medium Risk
EMP0222,44,Operations,2,3,6439,4,4,No,22.9,No,2,9,0,0.3997173628543636,Medium Risk
EMP0223,22,Sales,1,0,4028,4,3,No,29.2,No,3,14,0,0.4583701771991332,Medium Risk
EMP0224,33,Sales,1,0,4617,5,2,No,4.4,No,3,10,0,0.4437873323766754,Medium Risk
EMP0225,48,Marketing,1,4,5973,4,3,Yes,17.2,No,3,13,0,0.6639607600103067,High Risk
EMP0226,38,Engineering,1,2,6127,3,4,No,6.9,No,3,10,0,0.4216254663078216,Medium Risk
EMP0227,27,Engineering,2,3,8922,2,3,Yes,8.7,No,2,14,1,0.6783795568295162,High Risk
EMP0228,30,Operations,3,6,8920,3,4,No,2.1,No,3,9,0,0.33233471667483583,Medium Risk
EMP0229,44,IT,2,4,8319,3,4,Yes,12.1,No,3,17,0,0.5890871452041793,Medium Risk
EMP0230,30,Operations,2,3,5936,2,3,No,15.1,No,4,15,0,0.5141962564107914,Medium Risk
EMP0231,40,Sales,4,16,12239,3,4,No,2.5,Yes,3,13,0,0.23410064493599622,Low Risk
EMP0232,38,IT,2,5,9260,3,3,No,15.8,No,3,15,0,0.4768958971352105,Medium Risk
EMP0233,31,Engineering,2,9,8258,5,3,No,27.3,No,3,10,0,0.31363881854271936,Medium Risk
EMP0234,59,Sales,3,31,12652,3,3,No,27.3,No,2,21,0,0.3901580514629524,Medium Risk
EMP0235,44,HR,3,22,10147,5,2,Yes,14.1,No,2,15,0,0.36734065053638615,Medium Risk
EMP0236,22,Finance,1,0,5678,3,3,No,8.1,No,4,21,0,0.45337789608480455,Medium Risk
EMP0237,39,Sales,4,15,12100,4,4,No,14.0,No,1,18,0,0.2657990623915899,Low Risk
EMP0238,31,Marketing,1,0,5571,3,4,No,3.8,No,4,15,0,0.4446024813580979,Medium Risk
EMP0239,46,Operations,4,13,11514,1,4,Yes,7.4,No,2,14,0,0.6011745819473554,High Risk
EMP0240,30,Engineering,1,3,6336,3,4,No,5.8,No,4,9,0,0.3872598060928815,Medium Risk
EMP0241,36,Finance,4,11,13240,3,3,No,3.5,Yes,3,12,0,0.2757198432020786,Low Risk
EMP0242,43,Engineering,3,8,12174,3,2,Yes,6.8,No,2,17,0,0.6715311791458535,High Risk
EMP0243,46,Engineering,3,14,12750,4,3,Yes,19.9,No,4,13,0,0.5248942536695782,Medium Risk
EMP0244,25,Engineering,2,3,8747,3,1,Yes,6.1,No,3,20,1,0.7272666990364987,High Risk
EMP0245,34,Marketing,2,9,7768,5,1,No,7.9,No,3,14,0,0.4382705635572614,Medium Risk
EMP0246,33,Engineering,3,5,11626,5,2,Yes,13.7,No,2,21,0,0.5758711756750745,Medium Risk
EMP0247,31,Operations,1,1,4096,4,1,Yes,7.5,No,3,13,0,0.7297054192588059,High Risk
EMP0248,55,IT,2,5,8666,5,3,No,6.4,No,2,16,0,0.3841293899095831,Medium Risk
EMP0249,42,IT,2,3,6761,2,4,No,7.8,No,4,14,0,0.42269733525970377,Medium Risk
EMP0250,25,Sales,2,2,6616,2,3,No,4.0,No,3,10,0,0.4838484292543604,Medium Risk
EMP0251,47,Sales,5,25,14974,3,2,No,19.3,No,3,21,0,0.350871908573804,Medium Risk
EMP0252,59,Engineering,4,22,16757,3,4,No,2.7,No,2,14,0,0.3101401367218291,Medium Risk
EMP0253,48,Finance,2,11,9385,4,4,No,3.0,No,3,14,0,0.2974029798751936,Low Risk
EMP0254,22,IT,1,0,5065,4,1,Yes,8.6,No,2,16,0,0.7048508927286067,High Risk
EMP0255,33,Operations,2,2,6128,3,3,No,19.9,No,4,14,0,0.4819078481555458,Medium Risk
EMP0256,50,Marketing,4,21,14257,3,3,No,15.3,No,3,20,0,0.37280155369260104,Medium Risk
EMP0257,30,Sales,2,3,7793,2,3,No,5.0,No,2,22,0,0.5453025365679258,Medium Risk
EMP0258,42,Operations,2,2,6479,3,4,No,11.0,No,3,20,0,0.4505050868657703,Medium Risk
